sent0,sent1
Benarkah pernyataan Calon Presiden Joko Widodo bahwa Indonesia kini berhasil menduduki tujuan wisata halal nomor satu di dunia?," ""Setelah sebelumnya berada di peringkat kedua, tahun ini Indonesia menduduki posisi pertama dalam GMTI 2019 bersama dengan Malaysia dengan skor 78,"" ujarnya, dalam report Mastercard-Crescent Rating Global Muslim Travel Index (GMTI) 2019, Selasa, 9 April 2019"
"Jokowi : ""Indonesia adalah negara penduduk muslim terbesar""","  Jumlah muslim yang menghuni 23,4 persen dari populasi dunia, diprediksi akan menyentuh 60 persen memasuki 2070"
BPJS Hentikan Meng-cover Biaya Pengobatan Kanker," Lewat juru bicara Nopie Hidayat, BPJS Kesehatan memberikan penjelasan terkait keputusannya untuk menghentikan penjaminan obat Traztuzumab"
"“Temuan Stempel Berlogo Palu Arit, Pemkab Morowali Imbau Warga Tenang”","“Menurut Kapolres, stempel yang ditemukan hanya untuk dokumen internal perusahaan dari kantor pusat ke kantor induk"
"Pilkada Sleman, DWS: Hampir Setengah APBD buat Belanja Pegawai?"," Untuk belanja tidak langsung, belanja pegawai yang dianggarkan sebesar Rp1"
"""Satelit Merah Putih Milik Telkom Indonesia Resmi Diluncurkan SpaceX""",  Satelit Merah Putih akan menempati slot orbit 108 derajat Bujur Timur (108 BT)
FPI Tidak Menyebarkan Spanduk Habib Rizieq Dukung Khilafah,"  Kejadian ini bukan kali ini saja, akan tetapi sudah sering dilakukan oleh orang tidak bertanggung jawab untuk memfitnah HB Rizieq"
"Lambangnya Dicatut Sekber Gerindra-PKS, PBB Beri Klarifikasi","Partai Bulan Bintang (PBB) memberikan klarifikasi atas terpampangnya logo partai tersebut dalam acara peresmian Sekretariat Bersama (Sekber) Partai Gerakan Indonesia Raya (Gerindra), Partai Keadilan Sejahtera (PKS), dan Partai Amanat Nasional (PAN)"
Kantor Staf Kepresidenan Mengklarifikasi Bahwa Tidak Ada Dokumen Penting Negara yang Hilang Pada Kasus Pencurian Terhadap Stafnya,"  Sebab, menurut Moeldoko, laptop yang raib dibawa pelaku tidak berisi dokumen rahasia negara"
“Krakatau Steel Beri Klarifikasi Soal Viral Video 1.000 TKA China”,"  “Terkait TKA yang ada di KE, itu semua tenaga ahli, bukan tenaga kasar"
BPJS Hentikan Meng-cover Biaya Pengobatan Kanker," ""Pengobatan dijamin BPJS kesehatan hingga siklus pengobatannya selesai sesuai peresepan maksimal Formularium Nasional,"" tambah Nopie"
PNS dan Guru Dilaporkan Terbanyak Sebar Hoaks di Medsos, 72-2/99 kepada Pejabat Pembina Kepegawaian (PPK) Instansi Pusat dan Daerah perihal Pencegahan Potensi Gangguan Ketertiban dalam Pelaksanaan Tugas dan Fungsi PNS
Kantor Staf Kepresidenan Mengklarifikasi Bahwa Tidak Ada Dokumen Penting Negara yang Hilang Pada Kasus Pencurian Terhadap Stafnya," com, Kepala Kantor Staf Kepresidenan (KSP) Moeldoko, mengungkapkan bahwa perampokan yang dialami oleh stafnya tak turut menghilangkan dokumen penting negara"
Klarifikasi Dinas Bina Marga DKI Jakarta Terkait Anggaran Rp56 Miliar Untuk Bangun 3 JPO," “Angka Rp56 miliar itu kalau bangun baru yang membentang 68 meter lebar 3 meter, dengan JPO yang wah begitu,” kata Yusmada"
Foto “Salam Dua Jari” Kapolda Sumut Paulus Waterpauw Bersama Ketua Relawan Djarot-Sihar,"  Telunjuk tangan saya lambang angka 7, wanita itu salam 2 jari dan viral setelah dipublikasi di medsos,"" tutur Kapolda"
Amien Rais menyebut 74 persen tanah di Indonesia dikuasai segelintir orang.,  Riset lain yang menunjukkan ketimpangan penguasaan lahan di Indonesia diadakan oleh Oxfam dan International NGO Forum on Indonesia Development atau INFID
Benarkah selama puluhan tahun banyak perusahaan besar meninggalkan limbah dan tidak membayar pajak?,"  Perusahaan itu sebelumnya terbukti membakar dan mengeringkan ladang gambut di Kuala Tripa dan membunuh satwa liar, antara lain orangutan, lewat kabut asap yang tercipta"
Mahasiswa UnSri meninggal dunia setelah terjatuh dari lantai tiga apartemen Unsri," Irfan mengalami kritis, karena kepalanya jatuh menghantam tanah terlebih dahulu"
"Benarkah pernyataan Calon Presiden Joko Widodo bahwa Pemerintah Indonesia telah menguasai sumber daya alam strategis seperti Blok Mahakam, Blok Rokan dan Freeport?"," Terakhir untuk Freeport, CEO Freeport McMoRan Inc, Richard Adkerson mengatakan peralihan sebanyak 51,23 persen saham PT Freeport Indonesia kepada PT Indonesia Asahan Alumunium (Inalum) merupakan win-win solution yang bisa dicapai oleh perusahaannya dengan pemerintah Indonesia"
"Debat Pilkada Solo: Bajo Klaim Cagar Budaya Di Solo Banyak Yang Dijual, Ini Faktanya!", Pegiat Komunitas Soeracarta Heritage Society Yunanto Sutyastomo mendesak sejumlah pihak untuk tetap menjaga keutuhan bangunan cagar budaya tersebut sebagai sebuah warisan budaya yang utuh
PAC PDIP Tenggilis Mejoyo Surabaya tangkap pelaku politik uang di Kendangsari, Oleh Panwascam kasus ini langsung dilimpahkan be Bawaslu Surabaya
Benarkah selama puluhan tahun banyak perusahaan besar meninggalkan limbah dan tidak membayar pajak?, KesimpulanPernyataan Prabowo bahwa masih banyak perusahaan besar yang tidak membayar pajak adalah benar
Klaim Prabowo Terkait Operasional Pelabuhan Indonesia Diberikan Pihak Asing,"  Namun demikian, kepemilikan aset pelabuhan dan bandara yang diserahkan ke swasta tetap di tangan pemerintah"
Dinkes Aceh Membantah Atas Isu Pelajar Lumpuh Setelah Vaksin MR," com, Kepala Dinas Kesehatan Aceh, dr Hanif, menegaskan bahwa tidak dapat bergeraknya kaki Helmi bukan disebabkan akibat dari imunisasi MR"
Jokowi: Kapal Nelayan di Bawah 10 GT Tidak Perlu Izin," ""Dengan aturan itu, maka pemerintah daerah diharapkan tidak lagi mempersulit izin nelayan kecil,"" katanya"
Penjelasan Mosaik Jalan di Depan Balaikota Surakarta Solo yang Disebut Mirip Salib," Agar tidak menjadi fitnah dan kisruh di antara masyarakat, pihak-pihak yang berwenang dalam pembuatan mosaik jalan tersebut memberikan penjelasannya"
BPJS Hentikan Meng-cover Biaya Pengobatan Kanker,"  Itu sebabnya, BPJS pun mengeluarkan Trastuzumab dari daftar obat yang mendapat jaminan"
Prabowo Sebut Pembangunan Era Jokowi Tak Efisien,"  Namun,Januari lalu sempat beredar kabar ada dua laporan Bank Dunia yang mengkritik pembangunan Jokowi karena prosesnya yang kurang baik karena masalah perencanaan"
Ketum PEPES Bantah Emak-emak Ditangkap di Karawang Anggotanya,"Ketua Umum Partai Emak-emak Pendukung Prabowo Subianto-Sandiaga Uno (PEPES), Wulan membantah tiga perempuan yang ditangkap di Karawang, Jawa Barat adalah anggotanya"
