title,source,category,sub-category,content,label,label_id,topic_id
anggota dprd jabar sebut uu ruzhanul hanya ban serep ridwan kamil.,Kompas.com,Regional,Regional,anggota dprd jawa barat dari fraksi partai gerindra daddy rohanandi menyoroti optimalisasi kinerja wakil gubernur jawa barat yang dinilai hanya sebagai ban serep gubernur jawa barat .istilah itu muncul saat ia memberikan rilis kepada awak media senin 992019 kemarin.saat dikonfirmasi selasa 1092019 daddy menjelaskan ban serep itu merujuk pada kurang terlihatnya kinerja uu sebagai wakil gubernur.ban serep itu soal optimal enggak uu sebagai wakil gubernur. bukan di mata saya saja tapi di mata kawankawan dewan yang lain uu tidak optimal ujar daddy.salah satu indikatornya kata daddy uu seolah tak diberi kewenangan dalam memutuskan sesuatu.ia mencontohkan saat dewan mengundang lembaga eksekutif untuk rapat bersama badan anggaran. namun tanpa ada konfirmasi uu mendadak urung hadir.ada beberapa hal di mata kita. uu misalnya bisa mewakili gubernur untuk katakanlah dia bisa masuk dalam rapat banggar. tapi waktu itu enggak jadi entah uu enggak mau atau enggak boleh atau gimana kata daddy.kemudian sambung daddy ia tak melihat kontribusi uu dalam mengawal sejumlah program.salah satunya soal urusan kemasyarakatan dan sosial yang menjadi tugasnya dalam pembagian porsi kerja bersama ridwan kamil.namun di mata dewan misalnya di komisi ii dan komisi v di mana uu mengurusi bidang kesehatan rumah sakit. sederhana yang terkait dengan kesejahteraan masyarakat ada enggak dinas yang didampingi uu enggak tutur dia.karena itu daddy berharap ada pembagian tugas kerja yang jelas antara ridwan kamil dan uu.jadi jelaskan tegaskan uu diserahi tugas apa. urusan kemasyarakatan misalnya pertanian pesantren itu harus dijelaskan. itu kan tafsir masingmasing jadi dewan juga boleh dong menafsirkan ujar dia.,non-clickbait,0,30
bri saluran kur mikro kepada 15 nasabah mekaar naik kelas.,Kompas.com,Money,Rilis,pt. rakyat indonesia tbk menyalurkan kredit usaha rakyat kur mikro kepada 15 mekaar naik kelas di labuan bajo nusa tenggara timur ntt senin 992019.direktur bisnis mikro yang hadir dalam acara tersebut menjelaskan pihaknya memfasilitasi nasabah mekaar yang naik kelas. mekaar berartimembina ekonomi keluarga sejahtera.artinya nasabah mekaar yang telah dinyatakan lulus dalam proses pembinaan oleh permodalan nasional madani pnm untuk mendapatkan akses pembiayaan kur mikro.kriteria nasabah mekaar naik kelas diantaranya menjadi nasabah aktif tidak pernah mempunyai tunggakan angsuran selama menjadi nasabah memiliki prospek usaha baik dan memerlukan pembiayaan dari perbankan serta mempunyai catatan baik imbuh supari dalam keterangan tertulisnya senin 992019.bank bri kata dia memberikan kemudahan syarat bagi nasabah mekaar naik kelas yang akan mengajukan pembiayaan. syaratnya cukup direkomendasi oleh pnm memiliki kegiatan usaha tidak dimintaagunan tambahan proses cepat dan langsung masuk rekening tabungan.syarat lain yakni nasabah tidak sedang memiliki kredit produktif di lainserta tidak pernah menunggak angsuran ujar supari.supari menjelaskan tak hanya memberikan pembiayaan bank bri melalui program bri incubator juga akan melakukan pendampingan dan pelatihan bagi nasabah mekaar naik kelas.program ini bertujuan untuk meningkatkan kompetensi mereka dalam menjalankan usaha mendapatkan kemudahan dalam mengakses pasar serta meningkatkan inklusi keuangan pungkas supari.sinergi bumn antara bank bri dengan pnm diharapkan dapat menciptakan usaha produktif berkelanjutan dan meningkatkan kesejahteraan masyarakat.selain supardi dalam acara tersebut hadir pula menteri bumn rini soemarno dan wakil direktur utama bank bri catur budi harto.,non-clickbait,0,23
menteri rini tunjuk plt dirut dan direktur ptpn iii.,Kompas.com,Money,Whats New,menteri rini soemarno menunjuk seger budiardjo sebagai pelaksana tugas plt pt perkebunan nusantara iii persero. seger saat ini merupakan direktur sdm dan umum .rini juga menetapkan ahmad haslan saragih sebagai plt direktur pemasaran di samping tugasnya sebagai direktur produksi dan pengembangan ptpn iii.penunjukan pejabat pelaksana tugas ini ditetapkan pada 09 september 2019 melalui suratno. sk193mbu092019 sampai dengan diangkatnya direktur utama dan direktur pemasaran yang definitif.dalam keputusannya rini memberhentikan dolly p pulungan dan i kadek kertha laksana dari jabatannya sebagai direktur utama dan direktur pemasaran ptpn iii.keputusan ini berlaku mulai hari ini dengan ketentuan bahwa apabila dikemudian hari terdapat kekeliruan didalamnya akan diadakan pembetulan sebagai mestinya kata rini dalam keterangan resmi senin 992019.sekretaris perusahaan ptpn ii irwan peranginangin menjelaskan penetapan pejabat pelaksana tugas direksi perseroan dinilai sebagai tindakan cepat dalam merespon situasi dan kondisi perusahaan agar operasional perusahaan tetap berjalan dengan baik.kami berharap berharap keputusan ini bisa dijalankan dengan baik untuk melaksanakan transformasi bisnis yang sudah berjalan dan program kerja di lingkup perkebunan nusantara group kata irwan.,non-clickbait,0,23
pemkot jakarta utara akan pasang alat pengukur kualitas udara di lokasi peleburan alumunium.,Kompas.com,News,Megapolitan,pemerintah kota jakarta utara akan memasang alat pengukur di sekitar industri rumahan pembakaran dan aluminium di cilincing jakarta utara.hal itu bertujuan untuk memastikan seberapa besar dampak dari asap yang dikeluarkan puluhan industri tersebut terhadap kualitas udara di sekitarnya.walikota jakarta utara sigit wijatmoko mengatakan pemasangan alat tersebut akan menjadi dasar pengambilan keputusan terhadap lapaklapak peleburan alumunium tersebut.sudah saya sanpaikan kepada sudin lingkungan hidup untuk segera melaksanakan pemasangan alat pemantau sehingga ukurannya jelas. dan ini akan menjadi sebuah dasar kebijakan kata sigit saat dikonfirmasi senin 1692019.selain penindakan sigit menginginkan agar ada perubahan terkait proses pembakaran arang batok dan peleburan aluminium yang saat ini dilakukan secara tradisional ke arah yang lebih modern.karena kata sigit lapaklapak yang berdiri di cilincing tersebut juga sedikitnya berperan dalam pengolahan limbah yang kemudian menjadi produk yang bisa kembali dimanfaatkan masyarakat.untuk itu kami akan pantau dan memberikan pelatihan karena ke dua jenis usaha ini merupakan usaha olahan limbah. jadi pemerintah tidak hanya memikirkan sanksi tapi juga memikirkan kebijakan berdampak yang lebih panjang dan kompleks. dengan tentunya tidak mentoleransi terhadap penurunan baku mutu lingkungan jelasnya.sebelumnya diberitakan sebelumnya diberitakan puluhan lapak industri pembakaran arang dan alumunium yang kerap mengeluarkan asap tebal dan bau menyengat ini dikeluhkan oleh warga sekitar.bahkan salah seorang guru sdn cilincing 07 pagi berinisial s mengalami pneumonia akut. diduga penyakit gangguan pernapasan itu disebabkan oleh paparan asap pembakaran arang dan yang tak jauh dari sekolah tersebut.atas peristiwa tersebut para wali murid pun mengkhawatirkan kondisi kesehatan dari anakanak mereka yang bersekolah di sana.,non-clickbait,0,25
bekas dirut petral ditetapkan sebagai tersangka kasus mafia migas.,Kompas.com,News,Nasional,komisi pemberantasan korupsi menetapkan eks direktur utama pertamina energy trading ltd bambang irianto sebagai tersangka kasus .wakil ketua kpk laode m syarif mengatakan bambang ditetapkan sebagai tersangka atas statusnya sebagai managing director pertamina energy service pte. ltd pes periode 20092013.kpk menetapkan satu orang sebagai tersangka yakni bto managing director pertamina energy service pte. ltd periode 20092013. catatan bto juga menjabat sebagai direktur utama sebelum dilakukan penggantian pada tahun 2015 kata laode dalam konferensi pers selasa 1092019.berdasarkan hasil penyelidikan kpk bambang diduga telah menerima suap sedikitnya 29 juta dollar as selama periode 20102013 melalui rekening perusahaan siam yang didirikannya.laode menuturkan bambang menerima uang itu dari perusahaan oil karena telah mengamankan jatah alokasi kargo perusahaan itu dalam tender pengadaan atau penjualan minyak mentah atau produk kilang.bambang diduga telah menerima uang sekurangkurangnya us29 juta atas bantuan yang diberikannya kepada pihak kernel oil terkait dengan kegiatan perdagangan produk kilang dan minyak mentah kepada pespt pertamina persero di singapura dan pengiriman kargo ujar laode.laode menambahkan kpk telah memeriksa 53 orang saksi dan menggeledah lima rumah dan gedung dalam proses penyelidikan kasus tersebut.atas perbuatannya bambang disangkakan melanggar pasal 12 huruf a atau pasal 12 huruf b subsider pasal 11 undangundang nomor 31 tahun 1999 sebagaimana telah diubah dengan undangundang nomor 20 tahun 2001 tentang pemberantasan tindak pidana korupsi.,non-clickbait,0,25
wali kota di brasil ini larang penjualan komik marvel yang tampilkan ciuman 2 pria superhero.,Kompas.com,International,Internasional,rio de janeiro di pada sabtu 792019 mengeluarkan penjualan buku yang dianggap menampilkan konten tidak pantas untuk anak di bawah umur.wali kota marcelo crivella memerintahkan penarikan buku komik marvel yang menampilkan di karakter superhero pria sedang berciuman dari sebuah gelaran pameran buku di rio de janeiro.diberitakan konservatif itu memerintahkan buku itu dihapus dari daftar penjualan karena konten seksual yang tidak sesuai untuk anak di bawah umur.crivella yang merupakan mantan uskup di gereja universal kerajaan allah terpilih sebagai wali kota rio pada 2016. dalam kampanye pemilihannya dia menjanjikan untuk membawa hukum dan ketertiban di kota yang banyak terjadi tindak kejahatan itu. yang dimaksud wali kota adalah komik avengers terbitan 2010 berjudul childrens crusade yang ditulis dan diilustrasikan oleh allan heinberg dan jim cheung.dalam salah satu adegan di buku komik itu menampilkan karakter pria pahlawan super hukling dan wiccan yang berciuman.namun larangan penjualan yang dikeluarkan wali kota juga berdampak sebaliknya.langkah crivella yang melarang komik itu justru mendorong buku itu dengan cepat terjual habis dalam pameran buku dua tahunan di rio de janeiro itu.seorang youtuber asal brasil felipe neto yang memiliki 34 juta di kanalnya juga melakukan aksi protes atas larangan wali kota dengan membeli 14.000 eksemplar buku bertema untuk kemudian dibagikan secara gratis dalam acara pameran.surat kabar nasional terbesar brasil folha de s paulo bahkan menampilkan gambar adegan dalam komik itu sebagai sampul untuk sampul edisi sabtu 792019.pihak penerbit dan penulis komik juga telah menuding wali kota ingin melakukan penyensoran terhadap konten.,non-clickbait,0,13
panglima tni karhutla tanggung jawab bersama.,Kompas.com,Regional,Regional,marsekal hadi tjahjanto mengigatkan bahwa kebakaran hutan dan lahan merupakan tanggung jawab bersama.kita semuanya memahami dan sepakat bahwa penanggulangan karhutla tanggung jawab bersama ada gubernur bupati dan seluruh yang ada kata hadi dalam konferensi pers di gedung daerah riau di pekanbaru selepas menggelar rapat koordinasi penanggulangan dan pencegahan sabtu 1492019.ia menanggapi bencana karhutla dan kabut asap yang juga belum selesai di riau maupun di sejumlah wilayah di sumatera.dia mengatakan penanggulangan dan pencegahan karhutla telah dilakukan dengan berbagai upaya di antaranya operasi pemadaman baik dari darat maupun menggunakan kita telah mengerahkan 5.809 personel ke titiktitik api yang setiap hari dilaporkan. kemudian operasi kita telah melakukan penyiraman 28.000 dengan total air sudah 112 juta liter ucap hadi.saat ditanya wartawan terkait perintah presiden joko widodo widodo untuk mencopot pejabat yang gagal mengatasi karhutla hadi mengaku akan melaksanakan perintah tersebut.itu sudah perintah dan akan dilaksanakan ucap hadi.rapat penanggulangan dan pencegahan karhutla yang digelar tertutup di gedung daerah riau jumat.rapat dihadiri panglima tni marsekal hadi tjahjanto asops kapolri irhen martuani sormin kepala bnpb letjen tni doni monardo gubernur riau syamsuar dan wakilnya edy natar nasution pandam ibukit barisan mayjen tni m sabrar fadhilah dan dirjen gakkum klhk rasio ridho sani.rapat juga diikuti jajaran forkompimda provinsi riau. kabut asap pekat masih menyelimuti wilayah provinsi riau.wilayah yang teraparah yakni kota pekanbaru.sementara itu tim satgas karhutla riau juga masih terus berjibaku memadamkan titik api karhutla yang terjadi disejumlah wilayah di riau.,non-clickbait,0,30
kuasa hukum jefri nichol gunakan narkoba karena dihasut.,Kompas.com,Entertainment,Seleb,kuasa hukum artis peran aris marasabessy mengatakan bahwa kliennya menggunakan narkoba karena ada hasutan dari seseorang berinisial t.sebelumnya dalam persidangan pemeriksaan saksi yang dihadirkan oleh jaksa penuntut umum jpu pengadilan negeri jakarta selatan terungkap bahwa jefri mendapatkan ganja dari t.jefri bukan membeli ganja melainkan diberi oleh t yang saat ini masih buron dan menjadi daftar pencarian orang dpo polres jakarta selatan.dia diberikan karena dia jefri enggak bisa tidur dia tanya ke temantemannya termasuk t. eh enggak bisa tidur nih kata aris usai persidangan di pn jakarta selatan senin 1692019.akhirnya dikasih ganja. karena diberikan berarti ada hasutan. artinya dia korban. ketika dikasih itu kan indikasinya korban sambung aris.adapun dalam persidangan salah satu saksi fakta yakni pipin haryono yang merupakan anggota satres narkoba polres jakarta selatan mengakan jefri mendapatkan ganja dari seseorang temannya yang berinisial t pada 6 juli 2019.dikasih dari seorang temannya si t kata pipin.t memberikan ganja tersebut kepada jefri karena pemain film tersebut mengeluh kesulitan tidur kepada temantemannya termasuk kepada t.jefri tidak bisa tidur kata pipin menjawab pertanyaan hakim ketua krisnugroho.hari ini jpu menghadirkan dua orang saksi fakta dalam sidang kasus narkoba yang menjerat jefri nichol di p jakarta selatan.selain pipin ada wahyu kurniawan yang juga anggota satres narkoba polres jakarta selatanadapun sidang kasus jefri kembali akan dilanjutkan dengan agenda pemeriksaan saksi dari jpu pada rabu 1892019.jaksa akan menghadirkan dua saksi lagi masingmasing dari badan narkotika nasional dan rumah sakit ketergantungan obat rsko.,non-clickbait,0,9
polisi sebut ketersediaan air jadi kendala pemadaman karhutla.,Kompas.com,News,Nasional,polisi mengungkapkan bahwa kendala dalam memadamkan kebakaran hutan dan lahan adalah minimnya .apalagi kepala biro penerangan masyarakat divisi humas brigjen pol dedi prasetyo mengungkapkan fenomena el nino yang terjadi saat ini memperparah ketersediaan air.kendalanya adalah air karena lokasi cukup jauh dari air. memang saat ini adalah kemaraunya el nino artinya kemarau kering di mana tingkat kadar air di tempattempat hutanhutan itu sudah sangat langka dan kering apalagi di gambut kata dedi di gedung bareskrim polri jakarta selatan senin 1692019.untuk diketahui elnino merupakan salah satu variasi angin dan suhu permukaan laut di wilayah tropis belahan timur samudra pasifik yang ireguler dan berkala.untuk mengantisipasi karhutla dedi mengatakan bahwa telah terdapat satuan tugas satgas di masingmasing daerah.satgas tersebut terdiri dari badan penanggulangan bencana daerah bpbd yang didukung anggota tnipolri badan nasional penanggulangan bencana bnpb dan pemerintah daerah.satgas memantau atau memetakan daerah mana saja yang terjadi karhutla. pemantauan juga dilakukan melalui satelit. kemudian aparat juga terjun langsung ke lapangan.kemudian kita juga memantau terus 1x24 jam dengan menggunakan 2 satelit hotspotnya. kemudian ada juga pasukan patroli lapangan itu gabungan terpadu untuk mengecek firespotnya dan dilakukan upaya pemadaman tuturnya.berdasarkan data per senin 1692019 hari ini polisi telah menetapkan 185 orang dan 4 korporasi sebagai tersangka karhutla di sumatera dan kalimantan.rinciannya terdapat 47 tersangka yang ditetapkan oleh polda riau. sementara 1 perusahaan yaitu pt sumber sawit sejahtera sss telah ditetapkan sebagai tersangka untuk karhutla di riau.kemudian sebanyak 18 tersangka di daerah sumatera selatan. selanjutnya terdapat 4 tersangka di jambi dan 2 tersangka di kalimantan selatan.untuk daerah kalimantan tengah polda setempat menetapkan 45 orang dan pt palmindo gemilang kencana pgk sebagai tersangka.selanjutnya sebanyak 59 tersangka dan dua korporasi menjadi tersangka di kalimantan barat. dua perusahaan yang menjadi tersangka di kalbar adalah pt sisu dan pt sap.,non-clickbait,0,25
virgil van dijk tak segan puji sule sebagai bek hebat.,Kompas.com,Bola,Internasional,pertemuan antara jerman kontra belanda pekan lalu tidak hanya menyisakan kekalahan bagi tuan rumah der panzer.bek mahal liverpool yang memuji pemain bertahan bayern munchen niklas sule saat keduanya bertemu pada babak kualifikasi piala euro 2020.hal ini melihat performanya yang selalu tampil apik baik di tim nasional jerman maupun klubnya.van dijk mengungkapkan pemain muda berusia 24 tahun itu memiliki masa depan yang cerah.sekaligus menjadi salah satu pemain belakang yang difavoritkan oleh van dijk.saya sudah memantau perkembangan sule sejak lama kata bek liverpool ini.saya sering melawan dia. dia adalah pemain bertahan yang sangat bertalenta. sule punya masa depan yang cerah. dia bermain untuk klub besar tambah van dijk.seperti diketahui van dijk saat ini disejajarkan dengan lionel messi dan cristiano ronaldo dalam perebutan gelar pemain terbaik fifa.sebelumnya dirinya mendapatkan penghargaan pemain terbaik dari uefa musim 20182019.terpisah sule saat ini menjadi salah astu pemain bertahan andalan bayern munchen setelah ditinggal matt hummels.,non-clickbait,0,6
