sent0,sent1,hard_neg
Mobil Terbakar di Ketintang Barat, Video tersebut diunggah oleh akun Surabaya TV pada 16 Juni 2023 dengan keterangan ‘Mobil Terbakar di Ketintang Barat’,"Sampul Majalah Tempo Berjudul “SANG DALANG PERUSAK BHINEKA”, edisi 7-13 Desember 2020"
PEMERINTAH SEDANG GODOK REVISI UU NO 13/2003 TENTANG RENCANA PENGHAPUSAN PESANGON.,"[KLARIFIKASI FAKTA]Adanya aduan dari warginet yang menanyakan perihal ""Revisi UU no13/2003 Tentang Rencana Penghapusan Pesangon""Setelah kami melakukan penelusuran informasi tersebut adalah BENAR akan adanya rencana revisi UU nomor 13 tahun 2003 tentang ketenagakerjaan, salah satunya menghapus pesangon bagi pekerja yang di PHK dan pensiun",Ibu Iriana Dapat Kalung dari Raja Salman dan Diserahkan ke KPK
Mobil Listrik BMW IX dapat Berubah Warna dalam Sekejap, Tampak mobil yang berwarna hitam dapat berubah warna menjadi putih,COVID-19 AKAN HILANG SEIRING DITEMUKANNYA OBAT ORAL MOLNUPIRAVIR
Bek Timnas Sepakbola Thailand Buang Medali Perak ke Penonton,"tentang bek Timnas Thailand yang membuang medali perak usai kalah dari Indonesia di Partai Final Sea Games 2023 pada Selasa, 16 Mei 2023",“dibagikan ke siapa? Kalangan LGBT kah?”
Gubernur Khofifah Ajukan Pengangkatan 6.141 Guru Honorer Lolos Passing Grade Jadi PPPK di tahun 2023, Pengajuan tersebut dimaksudkan agar seluruh Guru yang telah lolos passing grade di 2021 bisa terangkat sebagai PPPK pada 2023,Bendera dan Atribut PDI-P Dilarang Beredar di Sumatera Barat karena Telah Menjadi Partai Terlarang
Pemotongan Hukuman Ferdy Sambo dan Putri Chandrawati," Kabar tersebut ditulis oleh Teras Muda Cianjur dan disebarkan di media sosial twitter pada 9 Agustus 2023 dengan keterangan ‘Ferdy Sambo tidak jadi dihukum mati, hukuman Putri Chandrawati disunat jadi 10 tahun’",KONSUMSI IKAN DAN SUSU BISA BIKIN MASALAH KULIT
Klarifikasi Ridwan Kamil Terkait Foto 'Bowo',"Hari Minggu kemarin, Ridwan Kamil melalui akun instagramnya @ridwankamil memposting sebuah gambar berisi capture dari akun @kazastraxx yang memnampilkan seorang anak yang sedang berfoto dengan dirinya dan dengan caption ; ""Foto Sama Pak Ridwan Aja Gratis, Masa Sama Bowo Bayar 80k",Restoran Sederhana Ulang Tahun Ke-15 Membagikan Makanan Gratis 
Video Gerai Gacoan Didatangi Beberapa Pria Bergamis,Beredar video di TikTok menampilkan beberapa pria bergamis sedang berdiri dan mengangkat kedua tangan di gerai Mie Gacoan,LOWONGAN KERJA PT. ASTRA DAIHATSU MOTOR
Klarifikasi Dinas Bina Marga DKI Jakarta Terkait Anggaran Rp56 Miliar Untuk Bangun 3 JPO," “Angka Rp56 miliar itu kalau bangun baru yang membentang 68 meter lebar 3 meter, dengan JPO yang wah begitu,” kata Yusmada",MENTERI AGAMA : HORMATI YANG TIDAK PUASA WARUNG TIDAK PERLU DI TUTUP
Sandiaga: Rahman Pengusaha Muda Asal Sidrap Mampu Ciptakan Lapangan Kerja,"Pada segmen ke-4, sesi tanya jawab dari pasangan nomor urut 01 ke nomor urut 02, dimana pertanyaan Jokowi soal peluang pengusaha muda di Indonesia, yang sangat berkembang pesat dengan adanya profesi gamers","Robert Malone, vaksin Covid-19 yang disuntikkan ke anak mengakibatkan spike protein beracun"
"Negara Habiskan Biaya 1,2 Miliar Rupiah untuk Padamkan Bromo","000, 00 yang sudah dihabiskan negara",MAHATIR MOHAMMAD MINTA CHINA MEMBONGKAR SEMUA JALAN TOL
SEORANG BOCAH 7 TAHUN WARGA KUNINGAN BERJUANG KE SEKOLAH TURUN NAIK BUKIT SEORANG…,informasi Seorang Bocah 7 Tahun Warga Kuningan Berjuang Ke Sekolah Turun Naik Bukit Seorang Diri,"Penyemprotan Disinfektan DKI Jakarta Dimulai 19 Maret 2020, Warga Dihimbau Tak Melintas"
Timnas Indonesia U20 Dapat Beasiswa Kuliah Hingga S2 Di UNESA,Beredar sebuah kabar yang menyatakan Timnas Indonesia U20 mendapat beasiswa kuliah hingga S2 di Universitas Negeri Surabaya (UNESA),"“Tes Baca Qur’an, Ini Jawaban Mengejutkan Prabowo”"
Klarifikasi Dinas Bina Marga DKI Jakarta Terkait Anggaran Rp56 Miliar Untuk Bangun 3 JPO,"com, Kepala Dinas Bina Marga DKI Jakarta Yusmada Faizal menjelaskan, anggaran Rp56 miliar untuk pembangunan tiga JPO di Jalan Jenderal Sudirman-MH Thamrin belum merupakan angka final dan angka tersebut merupakan asumsi untuk pembangunan JPO baru",Tejemahan Surah Al Kafirun Diganti Kata Non Muslim
3 Hari Berturut-turut Pemakaman Covid-19 di Malang,"  Melansir Detik Jatim, terdapat 3 pemakaman yang ditangani dengan protokol kesehatan Covid-19 pada 6 April hingga 8 April 2023",NOMOR AKUN MENGATASNAMAKAN WAKIL WALIKOTA BANJAR
LARANGAN KEPALA SEKOLAH REKRUT GURU HONORER, Kebetulan di whatsapp grup ada teman yang menshare link ini tentang mendikbud yang melarang sekolah untuk mengangkat guru honorer,TIPS PENGGUNAAN KUKU KUTEK UNTUK MEMUTIHKAN GIGI
