sent0,sent1,hard_neg
Benarkah pernyataan Calon Presiden Joko Widodo bahwa Indonesia kini berhasil menduduki tujuan wisata halal nomor satu di dunia?," ""Setelah sebelumnya berada di peringkat kedua, tahun ini Indonesia menduduki posisi pertama dalam GMTI 2019 bersama dengan Malaysia dengan skor 78,"" ujarnya, dalam report Mastercard-Crescent Rating Global Muslim Travel Index (GMTI) 2019, Selasa, 9 April 2019",Gempa Bumi Mengguncang Banten Ratusan Orang Tewas
"Jokowi : ""Indonesia adalah negara penduduk muslim terbesar""","  Jumlah muslim yang menghuni 23,4 persen dari populasi dunia, diprediksi akan menyentuh 60 persen memasuki 2070",Ternyata Biaya untuk Cuci Ginjal Kurang dari 10.000
BPJS Hentikan Meng-cover Biaya Pengobatan Kanker," Lewat juru bicara Nopie Hidayat, BPJS Kesehatan memberikan penjelasan terkait keputusannya untuk menghentikan penjaminan obat Traztuzumab","“Innalilahi, Ini Pesan Wasiat Irfan Hakim Kepada Istri Dan Anak-anaknya Sebelum Meningg4l Dunia.!!”"
"Pilkada Sleman, DWS: Hampir Setengah APBD buat Belanja Pegawai?"," Untuk belanja tidak langsung, belanja pegawai yang dianggarkan sebesar Rp1",Video Presiden Jokowi Terbitkan Perpres dan Perppu Bubarkan Ponpes Al Zaytun
"""Satelit Merah Putih Milik Telkom Indonesia Resmi Diluncurkan SpaceX""",  Satelit Merah Putih akan menempati slot orbit 108 derajat Bujur Timur (108 BT),Gadis Ular Gemparkan Thailand
"Lambangnya Dicatut Sekber Gerindra-PKS, PBB Beri Klarifikasi","Partai Bulan Bintang (PBB) memberikan klarifikasi atas terpampangnya logo partai tersebut dalam acara peresmian Sekretariat Bersama (Sekber) Partai Gerakan Indonesia Raya (Gerindra), Partai Keadilan Sejahtera (PKS), dan Partai Amanat Nasional (PAN)",Vaksin Covid-19 Penyebab Hepatitis Akut pada Anak-Anak
Kantor Staf Kepresidenan Mengklarifikasi Bahwa Tidak Ada Dokumen Penting Negara yang Hilang Pada Kasus Pencurian Terhadap Stafnya,"  Sebab, menurut Moeldoko, laptop yang raib dibawa pelaku tidak berisi dokumen rahasia negara",“Video pembuangan jenazah-jenazah korban Covid-19 di laut Meksiko”
BPJS Hentikan Meng-cover Biaya Pengobatan Kanker," ""Pengobatan dijamin BPJS kesehatan hingga siklus pengobatannya selesai sesuai peresepan maksimal Formularium Nasional,"" tambah Nopie",TKI di Hong Kong dan Arab Saudi Terima Sumbangan 275 Triliun dari BP2MI
Kantor Staf Kepresidenan Mengklarifikasi Bahwa Tidak Ada Dokumen Penting Negara yang Hilang Pada Kasus Pencurian Terhadap Stafnya," com, Kepala Kantor Staf Kepresidenan (KSP) Moeldoko, mengungkapkan bahwa perampokan yang dialami oleh stafnya tak turut menghilangkan dokumen penting negara",“MetroTV Akui Anies Adalah Presiden RI”
Amien Rais menyebut 74 persen tanah di Indonesia dikuasai segelintir orang.,  Riset lain yang menunjukkan ketimpangan penguasaan lahan di Indonesia diadakan oleh Oxfam dan International NGO Forum on Indonesia Development atau INFID,Ustaz Di Cianjur Dipersekusi dan Dibacok
Benarkah selama puluhan tahun banyak perusahaan besar meninggalkan limbah dan tidak membayar pajak?,"  Perusahaan itu sebelumnya terbukti membakar dan mengeringkan ladang gambut di Kuala Tripa dan membunuh satwa liar, antara lain orangutan, lewat kabut asap yang tercipta",Video Pesawat Rusia terbang di Ukraina
"Benarkah pernyataan Calon Presiden Joko Widodo bahwa Pemerintah Indonesia telah menguasai sumber daya alam strategis seperti Blok Mahakam, Blok Rokan dan Freeport?"," Terakhir untuk Freeport, CEO Freeport McMoRan Inc, Richard Adkerson mengatakan peralihan sebanyak 51,23 persen saham PT Freeport Indonesia kepada PT Indonesia Asahan Alumunium (Inalum) merupakan win-win solution yang bisa dicapai oleh perusahaannya dengan pemerintah Indonesia",Infografis 7 Kebiasaan yang Dapat Merusak Otak oleh WHO
PAC PDIP Tenggilis Mejoyo Surabaya tangkap pelaku politik uang di Kendangsari, Oleh Panwascam kasus ini langsung dilimpahkan be Bawaslu Surabaya,Foto “Sosoж ргеsiDей jokoщi mейбiйVдSi Bэrlin (Sosok Presiden Jokowi Menginvasi Berlin)”
